check stuff level | https://cs.brown.edu/courses/csci1380/sandbox/1 0.40235947810852507 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 0.35765286942980007
check stuff | https://cs.brown.edu/courses/csci1380/sandbox/1 0.30099320108148403 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 0.2675495120724302 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/index.html 0.3439922298074103
check | https://cs.brown.edu/courses/csci1380/sandbox/1 0.22907268296853878 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 0.2036201626387011 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/index.html 0.2617973519640443 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/index.html 0.3665162927496621
level check stuff | https://cs.brown.edu/courses/csci1380/sandbox/1 0.26823965207235 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 0.17882643471490003
level check | https://cs.brown.edu/courses/csci1380/sandbox/1 0.26823965207235 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 0.17882643471490003
level right | https://cs.brown.edu/courses/csci1380/sandbox/1 0.134119826036175 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 0.17882643471490003
level | https://cs.brown.edu/courses/csci1380/sandbox/1 0.40235947810852507 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 0.35765286942980007
link check stuff | https://cs.brown.edu/courses/csci1380/sandbox/1 0.10033106702716134 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 0.1337747560362151 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/index.html 0.17199611490370514
link check | https://cs.brown.edu/courses/csci1380/sandbox/1 0.07635756098951292 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 0.10181008131935056 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/index.html 0.13089867598202215 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/index.html 0.18325814637483104
link | https://cs.brown.edu/courses/csci1380/sandbox/1 0.057762265046662105 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 0.07701635339554948 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/index.html 0.09902102579427789 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/index.html 0.13862943611198905 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.006729584277281021
right | https://cs.brown.edu/courses/csci1380/sandbox/1 0 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 0 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/index.html 0 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/index.html 0 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2a/index.html 0 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0
