check stuff level | https://cs.brown.edu/courses/csci1380/sandbox/1 0.0752574989159953 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 0.06689555459199582
check stuff | https://cs.brown.edu/courses/csci1380/sandbox/1 0.0752574989159953 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 0.06689555459199582
check | https://cs.brown.edu/courses/csci1380/sandbox/1 0.0752574989159953 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 0.06689555459199582
level check stuff | https://cs.brown.edu/courses/csci1380/sandbox/1 0.050171665943996864 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 0.03344777729599791
level check | https://cs.brown.edu/courses/csci1380/sandbox/1 0.050171665943996864 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 0.03344777729599791
level right | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 0.03344777729599791 https://cs.brown.edu/courses/csci1380/sandbox/1 0.025085832971998432
level | https://cs.brown.edu/courses/csci1380/sandbox/1 0.0752574989159953 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 0.06689555459199582
link check stuff | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 0.03344777729599791 https://cs.brown.edu/courses/csci1380/sandbox/1 0.025085832971998432
link check | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 0.03344777729599791 https://cs.brown.edu/courses/csci1380/sandbox/1 0.025085832971998432
link | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 0.03344777729599791 https://cs.brown.edu/courses/csci1380/sandbox/1 0.025085832971998432
right | https://cs.brown.edu/courses/csci1380/sandbox/1 0 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 0 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2a/index.html 0 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0
simpl link check | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 0.03344777729599791 https://cs.brown.edu/courses/csci1380/sandbox/1 0.025085832971998432
simpl link | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 0.03344777729599791 https://cs.brown.edu/courses/csci1380/sandbox/1 0.025085832971998432
simpl | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 0.03344777729599791 https://cs.brown.edu/courses/csci1380/sandbox/1 0.025085832971998432
stuff level check | https://cs.brown.edu/courses/csci1380/sandbox/1 0.050171665943996864 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 0.03344777729599791
stuff level right | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 0.03344777729599791 https://cs.brown.edu/courses/csci1380/sandbox/1 0.025085832971998432
stuff level | https://cs.brown.edu/courses/csci1380/sandbox/1 0.0752574989159953 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 0.06689555459199582
stuff | https://cs.brown.edu/courses/csci1380/sandbox/1 0.0752574989159953 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 0.06689555459199582
action distanc challeng | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2a/index.html 0.012542916485999216
action distanc | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2a/index.html 0.012542916485999216
action | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2a/index.html 0.012542916485999216
albert einstein spooki | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2a/index.html 0.012542916485999216
albert einstein | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2a/index.html 0.012542916485999216
albert | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2a/index.html 0.012542916485999216
aspect quantum mechan | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2a/index.html 0.012542916485999216
aspect quantum | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2a/index.html 0.012542916485999216
aspect | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2a/index.html 0.012542916485999216
boggl chang particl | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2a/index.html 0.012542916485999216
boggl chang | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2a/index.html 0.012542916485999216
boggl | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2a/index.html 0.012542916485999216
causal quantum entangl | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2a/index.html 0.012542916485999216
causal quantum | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2a/index.html 0.012542916485999216
causal | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2a/index.html 0.012542916485999216
challeng classic concept | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2a/index.html 0.012542916485999216
challeng classic | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2a/index.html 0.012542916485999216
challeng | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2a/index.html 0.006271458242999608 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.004180972161999739
chang particl instantli | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2a/index.html 0.012542916485999216
chang particl | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2a/index.html 0.012542916485999216
chang | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2a/index.html 0.012542916485999216
