Killing processes on ports 7110, 7111, and 7112...
clearing store & authors
Cleanup completed
CRAWLER | THROUGHPUT | node: 7ff68 | startTime: 445.408875 | endTime: 568.131917 | elapsedTime: 122.72304200000002 | urlCount: 2
CRAWLER | LATENCY | node: 7ff68 | startTime: 445.408875 | endTime: 568.131917 | elapsedTime: 122.72304200000002 | urlCount: 2
INDEXER | THROUGHPUT | node: 7ff68 | startTime: 575.232208 | endTime: 575.5 | elapsedTime: 0.2677919999999858 | urlCount: 1
INDEXER | LATENCY | node: 7ff68 | startTime: 575.232208 | endTime: 575.5 | elapsedTime: 0.2677919999999858 | urlCount: 1
INDEXER | THROUGHPUT | node: fa3de | startTime: 723.805042 | endTime: 724.08175 | elapsedTime: 0.27670800000009876 | urlCount: 1
INDEXER | LATENCY | node: fa3de | startTime: 723.805042 | endTime: 724.08175 | elapsedTime: 0.27670800000009876 | urlCount: 1
INDEXER | THROUGHPUT | node: c65b0 | startTime: 873.948167 | endTime: 874.277417 | elapsedTime: 0.3292500000000018 | urlCount: 1
INDEXER | LATENCY | node: c65b0 | startTime: 873.948167 | endTime: 874.277417 | elapsedTime: 0.3292500000000018 | urlCount: 1
INDEXER | THROUGHPUT | node: 0e5f3 | startTime: 434.389208 | endTime: 434.68375 | elapsedTime: 0.29454199999997854 | urlCount: 1
INDEXER | LATENCY | node: 0e5f3 | startTime: 434.389208 | endTime: 434.68375 | elapsedTime: 0.29454199999997854 | urlCount: 1
starting round: 1
CRAWLER | THROUGHPUT | node: 7ff68 | startTime: 1601.721084 | endTime: 1664.576042 | elapsedTime: 62.8549579999999 | urlCount: 3
CRAWLER | LATENCY | node: 7ff68 | startTime: 1601.721084 | endTime: 1664.576042 | elapsedTime: 62.8549579999999 | urlCount: 3
CRAWLER | THROUGHPUT | node: 0e5f3 | startTime: 1460.343584 | endTime: 1608.391125 | elapsedTime: 148.04754100000014 | urlCount: 5
CRAWLER | LATENCY | node: 0e5f3 | startTime: 1460.343584 | endTime: 1608.391125 | elapsedTime: 148.04754100000014 | urlCount: 5
