Killing processes on ports 7110, 7111, and 7112...
clearing store & authors
Cleanup completed
CRAWLER | THROUGHPUT | node: 7ff68 | startTime: 476.627209 | endTime: 580.074084 | elapsedTime: 103.44687499999998 | urlCount: 2
CRAWLER | LATENCY | node: 7ff68 | startTime: 476.627209 | endTime: 580.074084 | elapsedTime: 103.44687499999998 | urlCount: 2
INDEXER | THROUGHPUT | node: 7ff68 | startTime: 587.323875 | endTime: 587.583209 | elapsedTime: 0.2593339999999671 | urlCount: 1
INDEXER | LATENCY | node: 7ff68 | startTime: 587.323875 | endTime: 587.583209 | elapsedTime: 0.2593339999999671 | urlCount: 1
INDEXER | THROUGHPUT | node: c65b0 | startTime: 874.1955 | endTime: 874.53725 | elapsedTime: 0.3417499999999336 | urlCount: 1
INDEXER | THROUGHPUT | node: fa3de | startTime: 728.372042 | endTime: 728.66 | elapsedTime: 0.28795800000000327 | urlCount: 1
INDEXER | LATENCY | node: c65b0 | startTime: 874.1955 | endTime: 874.53725 | elapsedTime: 0.3417499999999336 | urlCount: 1
INDEXER | LATENCY | node: fa3de | startTime: 728.372042 | endTime: 728.66 | elapsedTime: 0.28795800000000327 | urlCount: 1
INDEXER | THROUGHPUT | node: 0e5f3 | startTime: 436.038792 | endTime: 436.325292 | elapsedTime: 0.28649999999998954 | urlCount: 1
INDEXER | LATENCY | node: 0e5f3 | startTime: 436.038792 | endTime: 436.325292 | elapsedTime: 0.28649999999998954 | urlCount: 1
starting round: 1
CRAWLER | THROUGHPUT | node: 7ff68 | startTime: 1616.451251 | endTime: 1668.550001 | elapsedTime: 52.09875000000011 | urlCount: 3
CRAWLER | LATENCY | node: 7ff68 | startTime: 1616.451251 | endTime: 1668.550001 | elapsedTime: 52.09875000000011 | urlCount: 3
CRAWLER | THROUGHPUT | node: c65b0 | startTime: 1903.179084 | endTime: 2050.025626 | elapsedTime: 146.846542 | urlCount: 4
CRAWLER | LATENCY | node: c65b0 | startTime: 1903.179084 | endTime: 2050.025626 | elapsedTime: 146.846542 | urlCount: 4
CRAWLER | THROUGHPUT | node: 0e5f3 | startTime: 1465.018001 | endTime: 1624.397542 | elapsedTime: 159.37954100000002 | urlCount: 5
CRAWLER | LATENCY | node: 0e5f3 | startTime: 1465.018001 | endTime: 1624.397542 | elapsedTime: 159.37954100000002 | urlCount: 5
CRAWLER | THROUGHPUT | node: fa3de | startTime: 1757.343334 | endTime: 1917.099834 | elapsedTime: 159.7565000000002 | urlCount: 2
CRAWLER | LATENCY | node: fa3de | startTime: 1757.343334 | endTime: 1917.099834 | elapsedTime: 159.7565000000002 | urlCount: 2
INDEXER | THROUGHPUT | node: 0e5f3 | startTime: 1681.816292 | endTime: 1682.268917 | elapsedTime: 0.4526250000001255 | urlCount: 1
INDEXER | LATENCY | node: 0e5f3 | startTime: 1681.816292 | endTime: 1682.268917 | elapsedTime: 0.4526250000001255 | urlCount: 1
INDEXER | THROUGHPUT | node: fa3de | startTime: 1974.219959 | endTime: 1974.754751 | elapsedTime: 0.5347919999999249 | urlCount: 1
INDEXER | THROUGHPUT | node: 7ff68 | startTime: 1833.204043 | endTime: 1833.828251 | elapsedTime: 0.6242079999999532 | urlCount: 1
INDEXER | THROUGHPUT | node: c65b0 | startTime: 2120.094167 | endTime: 2120.661709 | elapsedTime: 0.5675419999997757 | urlCount: 1
INDEXER | LATENCY | node: fa3de | startTime: 1974.219959 | endTime: 1974.754751 | elapsedTime: 0.5347919999999249 | urlCount: 1
